State,Race,<16k,16-20k,20-25k,25-30k,30-35k,35-40k,40-45k,45-50k,50-60k,60-70k,70-80k,80k+
Alabama,ALL,160971,83065,99829,95400,97039,93504,86566,87842,218522,121537,106782,651924
Alaska,ALL,12078,5736,8743,7393,7893,8306,8902,9131,25764,18435,16381,131797
Arizona,ALL,166391,72385,98251,108769,113209,114812,112797,118946,320152,182915,163747,1111181
Arkansas,ALL,91781,50120,63227,65520,64788,62300,57156,57346,140635,76816,65867,362903
California,ALL,702694,377460,395789,428857,437182,445481,418839,436011,1202246,752970,700843,6919213
Colorado,ALL,110176,50572,63167,68773,71733,74801,76062,82663,230648,144040,131807,1123488
Connecticut,ALL,75935,37608,44306,45965,46327,46447,43458,46987,130709,79844,73776,725961
Delaware,ALL,21141,9943,11719,13477,14259,15920,15185,13588,42471,25440,23420,174532
District of Columbia,ALL,27936,8882,8879,6961,7527,9439,6552,7780,22699,14767,14384,174296
Florida,ALL,543907,256469,333843,364709,378114,383879,359398,371848,986998,550020,484088,3144144
Georgia,ALL,266742,123261,156142,164692,171692,169670,160058,159885,432301,257119,228588,1595219
Hawaii,ALL,25189,9675,11503,13356,12752,15475,13995,15579,42635,29000,27599,261652
Idaho,ALL,33125,19754,25753,28614,28106,30952,28252,30060,85011,51032,43601,252839
Illinois,ALL,324296,138128,175054,190868,190719,188564,177497,186475,503874,308447,281030,2265302
Indiana,ALL,165759,80696,108061,119770,117823,125198,118020,119893,319676,184958,164966,997780
Iowa,ALL,69408,38671,52101,52000,53327,56748,53624,57183,154221,90515,81510,516583
Kansas,ALL,64870,33488,42990,49867,51059,50147,48311,50585,140612,79091,70620,458096
Kentucky,ALL,149309,73942,84138,85788,88985,84516,80111,79645,206143,116878,102192,596826
Louisiana,ALL,171216,80282,96943,93985,88674,84897,73390,74299,188445,104146,91840,600568
Maine,ALL,33927,21259,24497,25541,25222,24786,25787,25043,65944,38545,35250,225261
Maryland,ALL,116107,46975,58449,59722,64565,67094,65951,71433,206136,130958,123397,1283481
Massachusetts,ALL,150720,86360,89069,85653,81918,82438,77804,80065,224642,142392,134450,1478936
Michigan,ALL,266220,127157,159020,173613,175690,184102,173121,176960,464858,267316,238910,1569761
Minnesota,ALL,101060,57224,68200,73018,75841,81608,78406,84299,238799,145818,135283,1089544
Mississippi,ALL,111109,56980,66261,62756,61500,57609,49001,52163,129288,68884,60630,332487
Missouri,ALL,157665,83698,103576,111485,112400,118453,107580,110438,293369,166587,147802,920764
Montana,ALL,26660,15541,17382,20903,21877,22221,19282,19981,52583,31696,27260,161092
Nebraska,ALL,41025,22345,28168,30097,32002,34415,31217,34615,91686,54571,48986,317758
Nevada,ALL,74884,30002,40748,46462,46901,51893,47052,50760,132734,78964,70642,470907
New Hampshire,ALL,21446,12452,16254,17256,17867,18376,18152,17648,53419,33594,31573,282460
New Jersey,ALL,168991,87506,97910,110066,105606,105000,102428,103871,288274,183602,173998,1869902
New Mexico,ALL,72927,35064,40443,41481,40098,39859,34588,35206,95589,52652,44845,264842
New York,ALL,523681,266818,286018,281703,275761,268906,246649,264424,706350,425798,390302,3593739
North Carolina,ALL,272129,146708,176464,184679,191030,192550,183368,181589,474644,266156,235552,1529813
North Dakota,ALL,19257,9470,11488,12974,13260,12908,12413,12793,36088,20826,19206,135857
Ohio,ALL,333103,158889,200089,211550,213393,219014,206483,213030,557632,322736,286997,1831243
Oklahoma,ALL,106570,55586,66247,75007,81477,73014,69968,70191,187446,103262,89823,525275
Oregon,ALL,96744,48768,60383,63212,63681,66602,66314,67675,181230,111364,100384,731732
Pennsylvania,ALL,317233,165333,208376,210528,215268,217916,205703,206611,559821,335768,303833,2201391
Rhode Island,ALL,25325,16525,16203,16353,15283,15553,14531,16989,40030,25181,24096,200698
South Carolina,ALL,153987,70858,88732,93884,93387,97356,88094,90599,235727,132267,116517,715037
South Dakota,ALL,18835,10855,13239,15046,14673,17636,14749,16039,41690,24508,22488,136019
Tennessee,ALL,190835,100738,122746,121839,126281,128200,125032,124541,320613,182252,159143,962569
Texas,ALL,659162,305432,380507,413003,431492,439416,406866,424814,1133724,669027,593934,4381963
Utah,ALL,41894,21141,26102,27933,34900,37034,34441,40067,112281,74797,68673,514386
Vermont,ALL,13242,9692,9917,10502,11166,10726,10661,10423,29241,18087,16321,112535
Virginia,ALL,170544,78978,99883,107792,112852,110605,108521,113732,327291,194882,180348,1643099
Washington,ALL,139104,67468,83289,88319,93924,93696,96944,103507,295376,185642,171121,1513449
West Virginia,ALL,64174,33227,41769,40261,38139,35538,35333,32366,86967,45770,39726,218080
Wisconsin,ALL,119931,72651,82364,101137,105524,101033,95939,101936,293679,171025,154389,1002208
Wyoming,ALL,13261,6818,8672,8879,10047,10116,8775,8630,26458,15902,14581,98512
United States,ALL,7804696,3878675,4672903,4947418,5044233,5096729,4799326,4968184,13377371,7908812,7133523,54379120
Alabama,WHITE,83491,44992,55589,58123,59331,58047,55644,57966,149852,87364,78913,522597
Alaska,WHITE,6997,3445,5253,4439,5667,5141,5902,6099,17581,12380,11373,101176
