FIPS,"County Clean of City, County and Town","States, DC and PuertoRico"
20023,Cheyenne,KS
20027,Clay,KS
20029,Cloud,KS
20039,Decatur,KS
20041,Dickinson,KS
20051,Ellis,KS
20053,Ellsworth,KS
20061,Geary,KS
20063,Gove,KS
20065,Graham,KS
20089,Jewell,KS
20105,Lincoln,KS
20109,Logan,KS
20123,Mitchell,KS
20137,Norton,KS
20141,Osborne,KS
20143,Ottawa,KS
20147,Phillips,KS
20153,Rawlins,KS
20157,Republic,KS
20161,Riley,KS
20163,Rooks,KS
20167,Russell,KS
20169,Saline,KS
20179,Sheridan,KS
20181,Sherman,KS
20183,Smith,KS
20193,Thomas,KS
20195,Trego,KS
20199,Wallace,KS
20201,Washington,KS
6073,San Diego,CA
54005,Boone,WV
54011,Cabell,WV
54039,Kanawha,WV
54059,Mingo,WV
54079,Putnam,WV
54099,Wayne,WV
26025,Calhoun,MI
12085,Martin,FL
8001,Adams,CO
8005,Arapahoe,CO
8013,Boulder,CO
#N/A,Broomfield  ,CO
#N/A,Denver,CO
8035,Douglas,CO
8059,Jefferson,CO
8123,Weld,CO
36119,Westchester,NY
36003,Allegany,NY
36013,Chautauqua,NY
36029,Erie,NY
36063,Niagara,NY
24013,Carroll,MD
36005,Bronx,NY
36047,Kings,NY
36061,New York,NY
36081,Queens,NY
36087,Rockland,NY
26099,Macomb,MI
26125,Oakland,MI
26163,Wayne,MI
#N/A,Jefferson Parish,LA
#N/A,Orleans Parish,LA
25021,Norfolk,MA
25025,Suffolk,MA
12005,Bay,FL
12037,Franklin,FL
12045,Gulf,FL
12131,Walton,FL
10003,New Castle,DE
12033,Escambia,FL
12113,Santa Rosa,FL
51139,Page,VA
51165,Rockingham,VA
33011,Hillsborough,NH
45009,Bamberg,SC
45023,Chester,SC
45039,Fairfield,SC
45055,Kershaw,SC
45061,Lee,SC
45063,Lexington,SC
45071,Newberry,SC
45075,Orangeburg,SC
45079,Richland,SC
45085,Sumter,SC
17111,McHenry,IL
51171,Shenandoah,VA
9001,Fairfield,CT
9003,Hartford,CT
9005,Litchfield,CT
9007,Middlesex,CT
9009,New Haven,CT
9011,New London,CT
9013,Tolland,CT
9015,Windham,CT
34021,Mercer,NJ
36005,Bronx,NY
36027,Dutchess,NY
36061,New York,NY
36079,Putnam,NY
36085,Richmond,NY
36087,Rockland,NY
36105,Sullivan,NY
36111,Ulster,NY
19139,Muscatine,IA
18011,Boone,IN
18019,Clark,IN
18021,Clay,IN
18031,Decatur,IN
#N/A,DeKalb,IN
18039,Elkhart,IN
18057,Hamilton,IN
18059,Hancock,IN
18063,Hendricks,IN
18065,Henry,IN
18077,Jefferson,IN
18081,Johnson,IN
18097,Marion,IN
53057,Skagit,WA
#N/A,Philadelphia,PA
34027,Morris,NJ
6019,Fresno,CA
6039,Madera,CA
36071,Orange,NY
6037,Los Angeles,CA
6059,Orange,CA
6065,Riverside,CA
34023,Middlesex,NJ
34035,Somerset,NJ
10001,Kent,DE
10003,New Castle,DE
10005,Sussex,DE
46079,Lake,SD
46083,Lincoln,SD
46087,McCook,SD
46099,Minnehaha,SD
46101,Moody,SD
46125,Turner,SD
56001,Albany,WY
31025,Cass,NE
31067,Gage,NE
31109,Lancaster,NE
31131,Otoe,NE
31155,Saunders,NE
31159,Seward,NE
26163,Wayne,MI
18001,Adams,IN
18003,Allen,IN
18113,Noble,IN
18169,Wabash,IN
53001,Adams,WA
53043,Lincoln,WA
53051,Pend Oreille,WA
53063,Spokane,WA
53065,Stevens,WA
53075,Whitman,WA
55009,Brown,WI
55015,Calumet,WI
55027,Dodge,WI
55029,Door,WI
55039,Fond du Lac,WI
55055,Jefferson,WI
55071,Manitowoc,WI
55078,Menominee,WI
55079,Milwaukee,WI
55083,Oconto,WI
55101,Racine,WI
55115,Shawano,WI
55131,Washington,WI
